Video	title	url	annotation_rating	comments	reviewed_at	reviewer_id
Fun_Science_l8WyqK8pTkc	EASY TOILET PAPER ROLL CRAFTS	https://www.youtube.com/watch?v=l8WyqK8pTkc	good		2025-07-31T10:23:39.364112	default
AskTheLawyers_FNnRbPePmZo	Injured on Someone Else’s Property? | Washington Premises Liability Attorney	https://www.youtube.com/watch?v=FNnRbPePmZo	bad		2025-07-31T10:24:03.820333	default
PBS_Origins_yQfbkSSFW_w	Why Do Students Have So Much Debt?	https://www.youtube.com/watch?v=yQfbkSSFW_w	good		2025-07-31T10:25:00.503166	default
Architectural_Digest_GGrKSsMO4LY	Architect Breaks Down 5 Haunted Houses From Scary Films | Architectural Digest	https://www.youtube.com/watch?v=GGrKSsMO4LY	good		2025-07-31T10:25:47.333109	default
TED_Ed_e0uyu9vdd2g	The last chief of the Comanches and the fall of an empire - Dustin Tahmahkera	https://www.youtube.com/watch?v=e0uyu9vdd2g	good		2025-07-31T10:26:33.782211	default
Allure_J2rO4zkNVm4	The Most Thorough Pedicure of All Time	https://www.youtube.com/watch?v=J2rO4zkNVm4	bad		2025-07-31T10:58:22.555568	default
Practical_Wisdom_Interesting_Ideas_MB6jMoAAAfM	10 Things the Secretly Wealthy Never Show	https://www.youtube.com/watch?v=MB6jMoAAAfM	bad		2025-07-31T10:58:52.149301	default
Law_By_Mike_dJ_3AjT7Zww	I Tested 100 Years Of Scam Products	https://www.youtube.com/watch?v=dJ_3AjT7Zww	bad		2025-07-31T10:59:17.514133	default
Extra_History_fbRBNSjT_FQ	Kill the Indian, Save the Man - Carlisle Boarding School - US History - Extra History	https://www.youtube.com/watch?v=fbRBNSjT_FQ	good		2025-07-31T10:59:42.811870	default
Practical_Wisdom_Interesting_Ideas_Nsjr5cMqCQw	How Money Will Make You Out of Touch With Reality	https://www.youtube.com/watch?v=Nsjr5cMqCQw	good		2025-07-31T11:01:18.978706	default
Jeff_Su_2XqSMu9KVY0	Top 15 Canva Tips for Productivity!	https://www.youtube.com/watch?v=2XqSMu9KVY0	good		2025-07-31T11:02:07.482886	default
Math_and_Science_UC-2ZbI0enw	Lesson 7 - Writing And Balancing Chemical Reactions, Part 2	https://www.youtube.com/watch?v=UC-2ZbI0enw	good		2025-07-31T11:02:16.921883	default
Simplilearn_bAyrObl7TYE	Big Data In 5 Minutes | What Is Big Data?| Big Data Analytics | Big Data Tutorial | Simplilearn	https://www.youtube.com/watch?v=bAyrObl7TYE	good		2025-07-31T11:02:35.035258	default
ElectroBOOM_d_H054zwCOY	How to Fix your Laptop	https://www.youtube.com/watch?v=d_H054zwCOY	good		2025-07-31T11:02:51.594180	default
FGTeeV_xX6UPZTIIuc	Kids Make Impossible Basketball Shot! DUDE PERFECT 2! (FGTEEV Gameplay / Skit)	https://www.youtube.com/watch?v=xX6UPZTIIuc	bad		2025-07-31T11:03:37.597166	default
AskTheLawyers_vGYvktIwPMY	Meet Kathy McArthur, One of Georgia’s Top 10 Lawyers	https://www.youtube.com/watch?v=vGYvktIwPMY	good		2025-07-31T11:04:08.716856	default
Nerdwriter1__vGLo_VTVv8	The Diderot Effect	https://www.youtube.com/watch?v=_vGLo_VTVv8	good		2025-07-31T11:05:03.467110	default
Khan_Academy_GPK0JS2htsU	Nurse & Food Entrepreneur | Our budget & planning for our future | Part 3 | Khan Academy	https://www.youtube.com/watch?v=GPK0JS2htsU	good		2025-07-31T11:05:51.993679	default
YaleCourses_F3PM8NddDvk	Complex Humanitarian Emergencies | Essentials of Global Health with Richard Skolnik	https://www.youtube.com/watch?v=F3PM8NddDvk	good		2025-07-31T11:07:46.497396	default
The_Local_Project_XkniRxY4vX0	An Interior Designer’s Own Home Designed as an Escape from the City Life (House Tour)	https://www.youtube.com/watch?v=XkniRxY4vX0	good		2025-07-31T11:40:51.711854	default
