tag	map1	map2	map2.5	map3
edu.arts.architecture	architecture	arts	architecture	edu
edu.arts.languages	languages	arts	arts/culture	edu
edu.arts.literature	arts	arts	arts/culture	edu
edu.arts.media	arts	arts	arts/culture	edu
edu.arts.performing	arts	arts	arts/culture	edu
edu.arts.visual	arts	arts	arts/culture	edu
edu.arts.writing	arts	arts	arts/culture	edu
edu.arts.music	arts	arts	arts/culture	edu
edu.arts.arthistory	arts	arts	arts/culture	edu
edu.arts.acting	arts	arts	arts/culture	edu
edu.social.anthropology	history	history	arts/culture	edu
edu.social.archaeology	history	history	arts/culture	edu
edu.social.history	history	history	arts/culture	edu
edu.social.law	law	law	socialsciences	edu
edu.social.politics	politics	politics	socialsciences	edu
edu.social.psychology	psychology	psychology	socialsciences	edu
edu.social.sociology	sociology	sociology	socialsciences	edu
edu.humanities.ethics	humanities	humanities	humanities/philosophy	edu
edu.humanities.philosophy	humanities	humanities	humanities/philosophy	edu
edu.humanities.religion	humanities	humanities	humanities/philosophy	edu
edu.business.economics	economics	economics	socialsciences	edu
edu.business.entrepreneurship	business	business	business/finance	edu
edu.business.finance	finance	finance	business/finance	edu
edu.business.management	business	business	business/finance	edu
edu.business.marketing	business	business	business/finance	edu
edu.business.analytics	business	business	business/finance	edu
edu.education.pedagogy.teachingprinciples	teaching	teaching	pedagogy	edu
edu.education.pedagogy.teachingtools	teaching	teaching	pedagogy	edu
edu.medicine.dentistry	medicine	medicine	lifesciences	edu
edu.medicine.nursing	medicine	medicine	lifesciences	edu
edu.medicine.pharmacy	medicine	medicine	lifesciences	edu
edu.medicine.surgery	medicine	medicine	lifesciences	edu
edu.medicine.internalmedicine	medicine	medicine	lifesciences	edu
edu.medicine.psychiatry	medicine	medicine	lifesciences	edu
edu.medicine.physiology	medicine	medicine	lifesciences	edu
edu.medicine.cardiology	medicine	medicine	lifesciences	edu
edu.medicine.neurology	medicine	medicine	lifesciences	edu
edu.medicine.radiology	medicine	medicine	lifesciences	edu
edu.medicine.gastroenterology	medicine	medicine	lifesciences	edu
edu.medicine.orthopedics	medicine	medicine	lifesciences	edu
edu.medicine.pediatrics	medicine	medicine	lifesciences	edu
edu.medicine.rheumatology	medicine	medicine	lifesciences	edu
edu.medicine.oncology	medicine	medicine	lifesciences	edu
edu.medicine.nephrology	medicine	medicine	lifesciences	edu
edu.medicine.endocrinology	medicine	medicine	lifesciences	edu
edu.medicine.haematology	medicine	medicine	lifesciences	edu
edu.medicine.immunology	medicine	medicine	lifesciences	edu
edu.medicine.respiratory	medicine	medicine	lifesciences	edu
edu.medicine.publichealth	public_health	public_health	lifesciences	edu
edu.medicine.other	medicine	medicine	lifesciences	edu
edu.stem.biology.botany	biology	biology	lifesciences	edu
edu.stem.biology.ecology	biology	biology	lifesciences	edu
edu.stem.biology.genetics	biology	biology	lifesciences	edu
edu.stem.biology.marinebiology	biology	biology	lifesciences	edu
edu.stem.biology.microbiology	biology	biology	lifesciences	edu
edu.stem.biology.molecularbiology	biology	biology	lifesciences	edu
edu.stem.biology.zoology	biology	biology	lifesciences	edu
edu.stem.biology.cellbiology	biology	biology	lifesciences	edu
edu.stem.biology.evolutionarybiology	biology	biology	lifesciences	edu
edu.stem.biology.genomics	biotech	biotech	lifesciences	edu
edu.stem.biology.biophysics	biology	biology	lifesciences	edu
edu.stem.biology.bioinformatics	biotech	biotech	lifesciences	edu
edu.stem.biology.other	biology	biology	lifesciences	edu
edu.stem.biotechnology	biotech	biotech	lifesciences	edu
edu.stem.chemistry.analytical	chemistry	chemistry	physicalsciences	edu
edu.stem.chemistry.biochemistry	chemistry	chemistry	physicalsciences	edu
edu.stem.chemistry.inorganic	chemistry	chemistry	physicalsciences	edu
edu.stem.chemistry.organic	chemistry	chemistry	physicalsciences	edu
edu.stem.chemistry.physical	chemistry	chemistry	physicalsciences	edu
edu.stem.chemistry.materials	chemistry	chemistry	physicalsciences	edu
edu.stem.chemistry.nanotechnology	chemistry	chemistry	physicalsciences	edu
edu.stem.chemistry.other	chemistry	chemistry	physicalsciences	edu
edu.stem.physics.electromagnetism	physics	physics	physicalsciences	edu
edu.stem.physics.mechanics	physics	physics	physicalsciences	edu
edu.stem.physics.thermodynamics	physics	physics	physicalsciences	edu
edu.stem.physics.quantum	physics	physics	physicalsciences	edu
edu.stem.physics.relativity	physics	physics	physicalsciences	edu
edu.stem.physics.optics	physics	physics	physicalsciences	edu
edu.stem.physics.acoustics	physics	physics	physicalsciences	edu
edu.stem.physics.nuclearphysics	physics	physics	physicalsciences	edu
edu.stem.physics.computationalphysics	physics	physics	physicalsciences	edu
edu.stem.physics.matter	physics	physics	physicalsciences	edu
edu.stem.physics.particle	physics	physics	physicalsciences	edu
edu.stem.physics.other	physics	physics	physicalsciences	edu
edu.stem.engineering.aerospace	engineering	engineering	tech/engineering	edu
edu.stem.engineering.biomedical	engineering	engineering	tech/engineering	edu
edu.stem.engineering.chemical	engineering	engineering	tech/engineering	edu
edu.stem.engineering.computerscience	computersci	computersci	tech/engineering	edu
edu.stem.engineering.datascience	datasci	datasci	tech/engineering	edu
edu.stem.engineering.electrical	engineering	engineering	tech/engineering	edu
edu.stem.engineering.electronics	engineering	engineering	tech/engineering	edu
edu.stem.engineering.mechanical	engineering	engineering	tech/engineering	edu
edu.stem.engineering.civil	engineering	engineering	tech/engineering	edu
edu.stem.engineering.environmental	engineering	engineering	tech/engineering	edu
edu.stem.engineering.marine	engineering	engineering	tech/engineering	edu
edu.stem.engineering.nuclear	engineering	engineering	tech/engineering	edu
edu.stem.engineering.industrial	engineering	engineering	tech/engineering	edu
edu.stem.engineering.materials	engineering	engineering	tech/engineering	edu
edu.stem.engineering.robotics	engineering	engineering	tech/engineering	edu
edu.stem.engineering.automotive	engineering	engineering	tech/engineering	edu
edu.stem.engineering.sustainability	engineering	engineering	tech/engineering	edu
edu.stem.engineering.telecommunications	engineering	engineering	tech/engineering	edu
edu.stem.engineering.agricultural	engineering	engineering	tech/engineering	edu
edu.stem.engineering.energy	engineering	engineering	tech/engineering	edu
edu.stem.engineering.systemsengineering	engineering	engineering	tech/engineering	edu
edu.stem.engineering.other	engineering	engineering	tech/engineering	edu
edu.stem.math.algebra	algebra	algebra	math/logic	edu
edu.stem.math.calculus	math	math	math/logic	edu
edu.stem.math.geometry	math	math	math/logic	edu
edu.stem.math.statistics	datasci	datasci	tech/engineering	edu
edu.stem.math.arithmetic	math	math	math/logic	edu
edu.stem.math.trigonometry	math	math	math/logic	edu
edu.stem.math.numbertheory	math	math	math/logic	edu
edu.stem.math.probability	datasci	datasci	tech/engineering	edu
edu.stem.math.topology	math	math	math/logic	edu
edu.stem.math.combinatorics	math	math	math/logic	edu
edu.stem.math.linearalgebra	datasci	datasci	tech/engineering	edu
edu.stem.math.gametheory	math	math	math/logic	edu
edu.stem.math.settheory	math	math	math/logic	edu
edu.stem.math.differentialeqns	math	math	math/logic	edu
edu.stem.math.logic	math	math	math/logic	edu
edu.stem.math.other	math	math	math/logic	edu
edu.stem.environment	environment	environment	physicalsciences	edu
edu.stem.astronomy	astronomy	astronomy	physicalsciences	edu
edu.stem.neuroscience	neurosci	neurosci	lifesciences	edu
entertainment.sports.adventure	sports	sports	sports	entertainment
entertainment.sports.extremes	sports	sports	sports	entertainment
entertainment.sports.team	sports	sports	sports	entertainment
entertainment.sports.individual	sports	sports	sports	entertainment
entertainment.sports.other	sports	sports	sports	entertainment
entertainment.variety.magic	magic	magic	others	entertainment
entertainment.variety.quiz	quizzes	quizzes	others	entertainment
entertainment.variety.talkshow	talkshows	talkshows	tv_entertainment	entertainment
entertainment.variety.latenight	talkshows	talkshows	tv_entertainment	entertainment
entertainment.variety.celebritycontent	celebrity-content	celebritycontent	arts/culture	entertainment
entertainment.music	music	music	arts/culture	entertainment
entertainment.reality.dating	dating	dating	personal_vlogs	entertainment
entertainment.reality.competition	competitions	competitions	others	entertainment
entertainment.reality.living	reality-tv	realitytv	tv_entertainment	entertainment
entertainment.comedy.improv	comedy	comedy	comedy	entertainment
entertainment.comedy.parody	comedy	comedy	comedy	entertainment
entertainment.comedy.sketch	comedy	comedy	comedy	entertainment
entertainment.comedy.standup	comedy	comedy	comedy	entertainment
entertainment.drama.musical	drama	drama	tv_entertainment	entertainment
entertainment.drama.shortfilm	drama	drama	tv_entertainment	entertainment
entertainment.movies.clips	movies	movie-clips	movies	entertainment
entertainment.movies.review	movies   	movie-reviews	movies	entertainment
entertainment.movies.trailer	movies	movie-trailers	movies	entertainment
gaming.esports	gaming	gaming	gaming	gaming
gaming.gameplay	gaming	gaming	gaming	gaming
gaming.review	gaming	gaming	gaming	gaming
growth.careerdevelopment	selfhelp	selfhelp	lifestyle_wellbeing	lifestyle
growth.motivational	selfhelp	selfhelp	lifestyle_wellbeing	lifestyle
lifestyle.style.beauty	cosmetics	lifestyle	lifestyle_wellbeing	lifestyle
lifestyle.style.fashion	fashion	lifestyle	lifestyle_wellbeing	lifestyle
lifestyle.food	food	lifestyle	lifestyle_wellbeing	lifestyle
lifestyle.home	home	lifestyle	lifestyle_wellbeing	lifestyle
news.business	business-news	business-news	business/finance	news
news.domestic	domestic-news	domestic-news	news	news
news.entertainment	entertainment-news	entertainment-news	news	news
news.health	health-news	health-news	news	news
news.international	geopolitical-news	geopolitical-news	news	news
news.politics	geopolitical-news	geopolitical-news	news	news
news.sports	sports-news	sports-news	sports	news
news.technology	technology	technology	tech/engineering	news
misc.conspiracy	conspiracy	conspiracy	others	edu
misc.internet	internet-culture	internet-culture	others	lifestyle
misc.lifehacks	internet-culture	internet-culture	others	edu
misc.productreview	product-reviews	product-reviews	reviews	edu
misc.unboxing	product-reviews	product-reviews	reviews	lifestyle
religious.spirituality	religion	religion	humanities/philosophy	lifestyle
