tag	map1	map2	map3
edu.arts.architecture:	arts	arts	edu
edu.arts.languages:	arts	arts	edu
edu.arts.literature:	arts	arts	edu
edu.arts.media:	arts	arts	edu
edu.arts.performing:	arts	arts	edu
edu.arts.visual:	arts	arts	edu
edu.arts.writing:	arts	arts	edu
edu.arts.music:	arts	arts	edu
edu.arts.arthistory:	arts	arts	edu
edu.arts.acting:	arts	arts	edu
edu.social.anthropology:	history	history	edu
edu.social.archaeology:	history	history	edu
edu.social.history:	history	history	edu
edu.social.law:	law	law	edu
edu.social.politics:	politics	politics	edu
edu.social.psychology:	psychology	psychology	edu
edu.social.sociology:	sociology	sociology	edu
edu.humanities.ethics:	humanities	humanities	edu
edu.humanities.philosophy:	humanities	humanities	edu
edu.humanities.religion:	humanities	humanities	edu
edu.business.economics:	economics	economics	edu
edu.business.entrepreneurship:	business	business	edu
edu.business.finance:	finance	finance	edu
edu.business.management:	business	business	edu
edu.business.marketing:	business	business	edu
edu.business.analytics:	business	business	edu
edu.education.pedagogy.teachingprinciples:	teaching	teaching	edu
edu.education.pedagogy.teachingtools:	teaching	teaching	edu
edu.medicine.dentistry:	medicine	medicine	edu
edu.medicine.nursing:	medicine	medicine	edu
edu.medicine.pharmacy:	medicine	medicine	edu
edu.medicine.surgery:	medicine	medicine	edu
edu.medicine.internalmedicine:	medicine	medicine	edu
edu.medicine.psychiatry:	medicine	medicine	edu
edu.medicine.physiology:	medicine	medicine	edu
edu.medicine.cardiology:	medicine	medicine	edu
edu.medicine.neurology:	medicine	medicine	edu
edu.medicine.radiology:	medicine	medicine	edu
edu.medicine.gastroenterology:	medicine	medicine	edu
edu.medicine.orthopedics:	medicine	medicine	edu
edu.medicine.pediatrics:	medicine	medicine	edu
edu.medicine.rheumatology:	medicine	medicine	edu
edu.medicine.oncology:	medicine	medicine	edu
edu.medicine.nephrology:	medicine	medicine	edu
edu.medicine.endocrinology:	medicine	medicine	edu
edu.medicine.haematology:	medicine	medicine	edu
edu.medicine.immunology:	medicine	medicine	edu
