tag	map1	map2	map3
talkinghead.framecorner	presenter-corner	presenter	presenter
talkinghead.frameregular	presenter-center	presenter	presenter
board.chalkboard	chalkboard	writingboard	writingboard
board.whiteboard	whiteboard	writingboard	writingboard
board.lightboard	glassboard	writingboard	writingboard
writing.stylus	writing-cursor	writingboard	writingboard
keystrokes	typing	screen	screencast
writing.hand	writing-hand	writinghand	writinghand
animated.info	animation-infographic	graphics	animation
animated.cartoon	animation-cartoon	cartoon	animation
crafts.cutouts	animation-cutouts	cutouts	animation
animated.graphics	animation-graphics	graphics	animation
animated.comic	animation-comic	cartoon	animation
animation.powerpoint	animation-powerpoint	graphics	animation
classroom	classroom	classroom	lecture
screencast	screenrecord	screen	screencast
slides	powerpoint-slides	slides	slidedeck
docustyle	documentary	documentary	documentary
paneldiscussion.inperson	paneldiscussion-inperson	paneldiscussion	discussion
paneldiscussion.virtual	paneldiscussion-virtual	paneldiscussion	discussion
persononstage	presenter-onstage	stage	lecture
conversation.casual	talkshows	conversation	discussion
conversation.podcast	podcast	conversation	discussion
conversation.formal	formal-interview	conversation	discussion
interview.street	street-interview	interview	discussion
surveillancefootage	surveillancecam	homecamera	homecamera
gaming	gaming	gaming	gaming
pov.realworld	firstperson-pov	vlog	vlog
skit	skit	skit	skit
vlog	vlog	vlog	vlog
practicaldemonstration.cooking	cooking	cooking	experiments
practicaldemonstration.engineering	experiments-engineering	experiments	experiments
practicaldemonstration.science	experiments-science	experiments	experiments
dance	dance	dance	dance
placeholderdisplay	static-screen	static-screen	static-screen
rawfootage	unedited	homecamera	homecamera
