channelName	id	Video	title	url	content1	content_map1	format1	format_map1	content2	content_map2	format2	format_map2	is_embeddable
Real_Time_Bill_Maher	lTFnj-9EY4M	Real_Time_Bill_Maher_lTFnj-9EY4M	New Rule: Straw Man Arguments | Real Time with Bill Maher (HBO)	https://www.youtube.com/watch?v=lTFnj-9EY4M	entertainment.variety.talkshow	talkshows	talkinghead.frameregular	presenter-center	edu.stem.math.logic	math	persononstage	presenter-onstage	True
Sam_the_Cooking_Guy	iIes8pQWSFQ	Sam_the_Cooking_Guy_iIes8pQWSFQ	Top 10 Things to Eat in London: Best British Food | SAM THE COOKING GUY 4K	https://www.youtube.com/watch?v=iIes8pQWSFQ	lifestyle.food	lifestyle	talkinghead.frameregular	presenter-center	skills.culinary.cooking	culinary	docustyle	documentary	True
Khan_Academy	5ui43_O0RVQ	Khan_Academy_5ui43_O0RVQ	Flu surveillance | Infectious diseases | Health & Medicine | Khan Academy	https://www.youtube.com/watch?v=5ui43_O0RVQ	news.health	health-news	writing.stylus	writing-cursor	edu.medicine.publichealth	public_health	animated.info	animation-infographic	True
RottenTomatoes	1jEe_vPgNJE	RottenTomatoes_1jEe_vPgNJE	Happy Death Day 2U (2019) - Time Explosion Scene (3/10) | Movieclips	https://www.youtube.com/watch?v=1jEe_vPgNJE	entertainment.movies.clips	movies	animated.graphics	animation-graphics	edu.stem.physics.relativity	physics	practicaldemonstration.science	experiments-science	True
Seth_Meyers	I7ngInno1pY	Seth_Meyers_I7ngInno1pY	Florence Welch Was in a Band Called the Toxic Cockroaches	https://www.youtube.com/watch?v=I7ngInno1pY	entertainment.variety.talkshow	talkshows	talkinghead.frameregular	presenter-center	edu.arts.music	arts	conversation.casual	talkshows	True
RottenTomatoes	Zxlo0xmD51Y	RottenTomatoes_Zxlo0xmD51Y	Pride and Prejudice and Zombies (2016) - Zombie Trap Scene (3/10) | Movieclips	https://www.youtube.com/watch?v=Zxlo0xmD51Y	entertainment.movies.clips	movies	docustyle	documentary	edu.arts.literature	arts	rawfootage	unedited	True
RottenTomatoes	vpEzjIPGYoE	RottenTomatoes_vpEzjIPGYoE	The Best 1980s Horror Movies | Countdown	https://www.youtube.com/watch?v=vpEzjIPGYoE	entertainment.movies.review	movies	docustyle	documentary	news.entertainment	entertainment-news	animated.graphics	animation-graphics	True
Insane_Curiosity	jbY9p8f8-Ck	Insane_Curiosity_jbY9p8f8-Ck	Surprise: It's No Longer Olympus Mons The Highest Mountain in The Solar System!	https://www.youtube.com/watch?v=jbY9p8f8-Ck	edu.stem.astronomy	astronomy	docustyle	documentary	entertainment.sports.adventure	sports	animated.graphics	animation-graphics	True
Motivation2Study	I9lB7E-qX8A	Motivation2Study_I9lB7E-qX8A	NEUROSCIENTIST - You Will NEVER Feel Stressed AGAIN! | Andrew Huberman	https://www.youtube.com/watch?v=I9lB7E-qX8A	wellbeing.mentalhealth	wellbeing	talkinghead.frameregular	presenter-center	edu.stem.neuroscience	neurosci	animated.info	animation-infographic	True
Khan_Academy	oTbvYGH_Hiw	Khan_Academy_oTbvYGH_Hiw	Electoral college | American civics | US History | Khan Academy	https://www.youtube.com/watch?v=oTbvYGH_Hiw	edu.social.politics	politics	writing.stylus	writing-cursor	news.politics	geopolitical-news	animated.graphics	animation-graphics	True
IBM_Technology	rLms76Q8bS4	IBM_Technology_rLms76Q8bS4	Autonomous Revolution: The Intersection of AI, Cyber Security, and Connected Cars	https://www.youtube.com/watch?v=rLms76Q8bS4	edu.stem.engineering.automotive	engineering	talkinghead.framecorner	presenter-corner	edu.stem.engineering.computerscience	computersci	animated.graphics	animation-graphics	True
Simplilearn	E-NciVkZFVs	Simplilearn_E-NciVkZFVs	XML Tutorial For Beginners | XML Tutorial | What Is XML? | Learn XML For Beginners | Simplilearn	https://www.youtube.com/watch?v=E-NciVkZFVs	skills.digital.coding	tutorial	animated.info	animation-infographic	edu.stem.engineering.computerscience	computersci	animated.graphics	animation-graphics	True
RottenTomatoes	i42y4pdpBfA	RottenTomatoes_i42y4pdpBfA	Jigsaw (2017) - Scream, or Don't Scene (9/10) | Movieclips	https://www.youtube.com/watch?v=i42y4pdpBfA	entertainment.movies.clips	movies	docustyle	documentary	entertainment.reality.competition	competitions	rawfootage	unedited	True
Law_Crime_Network	YTmFOIKZNKg	Law_Crime_Network_YTmFOIKZNKg	‘Art of Bullsh*t’: Alex Murdaugh Manipulated Clients to Steal Money, CFO Testifies	https://www.youtube.com/watch?v=YTmFOIKZNKg	edu.social.law	law	talkinghead.frameregular	presenter-center	news.domestic	domestic-news	docustyle	documentary	True
The_Royal_Institution	OYZT3opLedc	The_Royal_Institution_OYZT3opLedc	The Chemistry of Fire and Gunpowder - with Andrew Szydlo	https://www.youtube.com/watch?v=OYZT3opLedc	edu.stem.chemistry.organic	chemistry	persononstage	presenter-onstage	edu.stem.chemistry.inorganic	chemistry	talkinghead.frameregular	presenter-center	True
The_Late_Show_Stephen_Colbert	sKCeqiWA-gQ	The_Late_Show_Stephen_Colbert_sKCeqiWA-gQ	Meanwhile... Put That Pickle Back In The Jar!	https://www.youtube.com/watch?v=sKCeqiWA-gQ	entertainment.variety.latenight	talkshows	talkinghead.frameregular	presenter-center	entertainment.variety.talkshow	talkshows	animated.info	animation-infographic	True
Khan_Academy	z_guKLKwjgY	Khan_Academy_z_guKLKwjgY	P.H. Emerson's Naturalistic Photography	https://www.youtube.com/watch?v=z_guKLKwjgY	edu.arts.visual	arts	docustyle	documentary	edu.arts.arthistory	arts	slides	powerpoint-slides	True
Sam_the_Cooking_Guy	cFZDnn3mPO0	Sam_the_Cooking_Guy_cFZDnn3mPO0	THE BEST BACON WRAPPED JALAPEÑO POPPERS | SAM THE COOKING GUY 4K	https://www.youtube.com/watch?v=cFZDnn3mPO0	skills.culinary.cooking	culinary	practicaldemonstration.cooking	cooking	lifestyle.food	lifestyle	talkinghead.frameregular	presenter-center	True
