title	url	duration	Video	content1	content_map1	content_map_hierarchy1	format1	format_map1	format_map_hierarchy1	content2	content_map2	content_map_hierarchy2	format2	format_map2	format_map_hierarchy2	channelName	id
Krull (4/8) Movie CLIP - Battle in the Swamps (1983) HD	https://www.youtube.com/watch?v=PM9t2KSOfK8	162.0	RottenTomatoes_PM9t2KSOfK8	entertainment.movies.clips	movie-clips	tv_entertainment	talkinghead.framecorner	Talking Head - Corner	Talking Head	edu.arts.architecture	arts	arts/culture	talkinghead.frameregular	Talking Head - Center	Talking Head	RottenTomatoes	PM9t2KSOfK8
Coronavirus Impacts Tom Hanks, the NBA and Monkeys in Thailand | The Daily Show	https://www.youtube.com/watch?v=4IlwdyacDZg	384.0	The_Daily_Show_4IlwdyacDZg	news.entertainment	entertainment-news	news	talkinghead.frameregular	Talking Head - Center	Talking Head	news.health	health-news	news	talkinghead.framecorner	Talking Head - Corner	Talking Head	The_Daily_Show	4IlwdyacDZg
11 Signs You Have Strong Intuition	https://www.youtube.com/watch?v=uBdqgE24lX0	514.0	BRAINY_DOSE_uBdqgE24lX0	edu.social.psychology	psychology	socialsciences	animated.info	Infographics	Graphics	growth.motivational	selfhelp	lifestyle_wellbeing	animated.graphics	Animated Graphics	Graphics	BRAINY_DOSE	uBdqgE24lX0
How Science Says You Should Pack	https://www.youtube.com/watch?v=HoUybLNyUmk	396.0	SciShow_HoUybLNyUmk	misc.lifehacks	internet-culture	others	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.stem.physics.mechanics	physics	physicalsciences	animated.info	Infographics	Graphics	SciShow	HoUybLNyUmk
Why is There More Matter Than Antimatter in the Universe?	https://www.youtube.com/watch?v=6ZuMjNh3WuY	429.0	The_Royal_Institution_6ZuMjNh3WuY	edu.stem.physics.matter	physics	physicalsciences	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.stem.physics.particle	physics	physicalsciences	animated.graphics	Animated Graphics	Graphics	The_Royal_Institution	6ZuMjNh3WuY
Robbers Cave Experiment: Unmasking the Roots of Tribal Conflicts	https://www.youtube.com/watch?v=9W0Txe-bhFE	379.0	Sprouts_9W0Txe-bhFE	edu.social.psychology	psychology	socialsciences	animated.comic	Comic Panel Style	Animations	edu.social.sociology	sociology	socialsciences	animated.info	Infographics	Graphics	Sprouts	9W0Txe-bhFE
Why don’t we cover the desert with solar panels? - Dan Kwartler	https://www.youtube.com/watch?v=WcLlpWmEpQ8	325.0	TED_Ed_WcLlpWmEpQ8	edu.stem.engineering.energy	engineering	tech/engineering	animated.info	Infographics	Graphics	edu.stem.engineering.electrical	engineering	tech/engineering	animated.graphics	Animated Graphics	Graphics	TED_Ed	WcLlpWmEpQ8
Scientific Notation - Explained!	https://www.youtube.com/watch?v=WwmJ5nMmigQ	313.0	Veritasium_WwmJ5nMmigQ	edu.stem.math.arithmetic	math	math/logic	board.chalkboard	Chalkboard	Writing Board	edu.stem.math.algebra	algebra	math/logic	talkinghead.frameregular	Talking Head - Center	Talking Head	Veritasium	WwmJ5nMmigQ
Sweeney Todd (4/8) Movie CLIP - Epiphany (2007) HD	https://www.youtube.com/watch?v=hTzqKlFConk	159.0	RottenTomatoes_hTzqKlFConk	entertainment.drama.musical	drama	tv_entertainment	conversation.formal	Interviews	Interviews	entertainment.movies.clips	movie-clips	tv_entertainment	docustyle	Documentary Style	Documentaries	RottenTomatoes	hTzqKlFConk
Solving radical equations 3 | Exponent expressions and equations | Algebra I | Khan Academy	https://www.youtube.com/watch?v=g6nGcnVB8BM	262.0	Khan_Academy_g6nGcnVB8BM	edu.stem.math.algebra	algebra	math/logic	writing.stylus	Writing Cursor	Writing Cursor	edu.stem.math.calculus	math	math/logic	animated.info	Infographics	Graphics	Khan_Academy	g6nGcnVB8BM
