tag	Hierarchy1	mapAnnotationHierarchy	mapAnnotation
edu.arts.architecture	Education	Architecture	Architecture
edu.arts.literature	Education	Arts & Literature	Arts
edu.arts.media	Education	Arts & Literature	Arts
edu.arts.performing	Education	Arts & Literature	Arts
edu.arts.visual	Education	Arts & Literature	Arts
edu.arts.writing	Education	Arts & Literature	Arts
edu.arts.arthistory	Education	Arts & Literature	Arts
edu.arts.acting	Education	Arts & Literature	Arts
edu.arts.music	Education	Arts & Literature	Music (Educational)
edu.business.entrepreneurship	Education	Business & Economics	Business
edu.business.management	Education	Business & Economics	Business
edu.business.marketing	Education	Business & Economics	Business
edu.business.analytics	Education	Business & Economics	Business
edu.business.economics	Education	Business & Economics	Economics
edu.business.finance	Education	Business & Economics	Finance
edu.stem.engineering.computerscience	Education	Computer & Data Science	Computer Science
edu.stem.engineering.datascience	Education	Computer & Data Science	Data Science
edu.stem.engineering.aerospace	Education	Engineering	Engineering
edu.stem.engineering.biomedical	Education	Engineering	Engineering
edu.stem.engineering.chemical	Education	Engineering	Engineering
edu.stem.engineering.electrical	Education	Engineering	Engineering
edu.stem.engineering.electronics	Education	Engineering	Engineering
edu.stem.engineering.mechanical	Education	Engineering	Engineering
edu.stem.engineering.civil	Education	Engineering	Engineering
edu.stem.engineering.environmental	Education	Engineering	Engineering
edu.stem.engineering.marine	Education	Engineering	Engineering
edu.stem.engineering.nuclear	Education	Engineering	Engineering
edu.stem.engineering.industrial	Education	Engineering	Engineering
edu.stem.engineering.materials	Education	Engineering	Engineering
edu.stem.engineering.robotics	Education	Engineering	Engineering
edu.stem.engineering.automotive	Education	Engineering	Engineering
edu.stem.engineering.sustainability	Education	Engineering	Engineering
edu.stem.engineering.telecommunications	Education	Engineering	Engineering
edu.stem.engineering.agricultural	Education	Engineering	Engineering
edu.stem.engineering.energy	Education	Engineering	Engineering
edu.stem.engineering.systemsengineering	Education	Engineering	Engineering
edu.stem.engineering.other	Education	Engineering	Engineering
edu.stem.environment	Education	Environmental Sciences	Environmental Sciences
edu.humanities.ethics	Education	Humanities	Philosophy
edu.humanities.philosophy	Education	Humanities	Philosophy
edu.humanities.religion	Education	Humanities	Religion
edu.arts.languages	Education	Languages	Languages
language.internationallanguage	Education	Languages	Languages
language.teachinglanguage	Education	Languages	Languages
edu.stem.biology.botany	Education	Life Sciences	Biology
edu.stem.biology.ecology	Education	Life Sciences	Biology
edu.stem.biology.genetics	Education	Life Sciences	Biology
edu.stem.biology.marinebiology	Education	Life Sciences	Biology
edu.stem.biology.microbiology	Education	Life Sciences	Biology
edu.stem.biology.molecularbiology	Education	Life Sciences	Biology
edu.stem.biology.zoology	Education	Life Sciences	Biology
edu.stem.biology.cellbiology	Education	Life Sciences	Biology
edu.stem.biology.evolutionarybiology	Education	Life Sciences	Biology
edu.stem.biology.genomics	Education	Life Sciences	Biology
edu.stem.biology.biophysics	Education	Life Sciences	Biology
edu.stem.biology.bioinformatics	Education	Life Sciences	Biology
edu.stem.biology.other	Education	Life Sciences	Biology
edu.stem.biotechnology	Education	Life Sciences	Biology
edu.stem.neuroscience	Education	Life Sciences	Biology
edu.stem.math.algebra	Education	Mathematics	Mathematics
edu.stem.math.calculus	Education	Mathematics	Mathematics
edu.stem.math.geometry	Education	Mathematics	Mathematics
edu.stem.math.statistics	Education	Mathematics	Mathematics
edu.stem.math.arithmetic	Education	Mathematics	Mathematics
edu.stem.math.trigonometry	Education	Mathematics	Mathematics
edu.stem.math.numbertheory	Education	Mathematics	Mathematics
edu.stem.math.probability	Education	Mathematics	Mathematics
edu.stem.math.topology	Education	Mathematics	Mathematics
edu.stem.math.combinatorics	Education	Mathematics	Mathematics
edu.stem.math.linearalgebra	Education	Mathematics	Mathematics
edu.stem.math.gametheory	Education	Mathematics	Mathematics
edu.stem.math.settheory	Education	Mathematics	Mathematics
edu.stem.math.differentialeqns	Education	Mathematics	Mathematics
edu.stem.math.logic	Education	Mathematics	Mathematics
edu.stem.math.other	Education	Mathematics	Mathematics
edu.medicine.dentistry	Education	Medical Sciences	Medicine
edu.medicine.nursing	Education	Medical Sciences	Medicine
edu.medicine.pharmacy	Education	Medical Sciences	Medicine
edu.medicine.surgery	Education	Medical Sciences	Medicine
edu.medicine.internalmedicine	Education	Medical Sciences	Medicine
edu.medicine.psychiatry	Education	Medical Sciences	Medicine
edu.medicine.physiology	Education	Medical Sciences	Medicine
edu.medicine.cardiology	Education	Medical Sciences	Medicine
edu.medicine.neurology	Education	Medical Sciences	Medicine
edu.medicine.radiology	Education	Medical Sciences	Medicine
edu.medicine.gastroenterology	Education	Medical Sciences	Medicine
edu.medicine.orthopedics	Education	Medical Sciences	Medicine
edu.medicine.pediatrics	Education	Medical Sciences	Medicine
edu.medicine.rheumatology	Education	Medical Sciences	Medicine
edu.medicine.oncology	Education	Medical Sciences	Medicine
edu.medicine.nephrology	Education	Medical Sciences	Medicine
edu.medicine.endocrinology	Education	Medical Sciences	Medicine
edu.medicine.haematology	Education	Medical Sciences	Medicine
