mapAnnotation	mapAnnotation_Definition	mapAnnotationHierarchy	mapAnnotationHierarchy_Definition
Cartoon Characters	Animated videos featuring cartoon characters and storylines	Animations	Cartoon and animated visual content
Paper Cutouts	Videos using paper cutout figures for animation	Animations	Cartoon and animated visual content
Comic Book Style	Videos presented in comic book panel format with sequential drawings	Animations	Cartoon and animated visual content
Motion Graphics	Animated text, shapes, and visual elements that move dynamically	Animations	Cartoon and animated visual content
Cooking	Cooking or baking videos	Cooking	Cooking and food preparation content
Physical Demo	Hands-on demonstrations of engineering, science, music or technical processes	Physical Demo	Hands-on instructional content
Documentary	Real-world footage exploring topics through interviews and authentic visuals	Documentary Style (Mixed Format)	Observational real-world content and storytelling
Gaming	Video game footage, gameplay, or gaming-related content	Gaming	Video game related content
Infographics	Educational visuals using charts, graphs, and data visualizations	Infographics/Slidedeck	Data visualization and animated information graphics
Slidedeck	Sequential slides with text and images, like PowerPoint presentations	Infographics/Slidedeck	Data visualization and animated information graphics
Chalkboard	Instruction using a dark board with white chalk writing	Instructional	Educational content using physical writing surfaces
Whiteboard	Instruction using a white board with colored markers	Instructional	Educational content using physical writing surfaces
Glassboard	Writing that appears to float in mid-air on transparent surface	Instructional	Educational content using physical writing surfaces
Digital Writing (use of a cursor)	Text and drawings appearing on screen following a cursor or stylus	Instructional	Educational content using physical writing surfaces
Writing Hand (No head visible)	Close-up view of a hand writing or drawing on a surface	Instructional	Educational content using physical writing surfaces
Classroom Lecture	Traditional classroom setting with instructor and students	Instructional	Educational content using physical writing surfaces
Raw Footage	Unedited, unstructured video clips without post-processing	Raw Footage	Miscellaneous formats not fitting main categories
Screencast	Computer screen capture showing software, websites, or digital interfaces	Screencast	Computer interface recordings and tutorials
Skit/Parody/Sketch/Short Film	Short humorous performances with characters and situations	Staged Performance	Comedy and entertainment sketches
Conversations	Discussions between people like podcasts, and interviews	Simultaneous Presenters	Conversational content between people
Panel Discussion - In Person	Formal group discussions with multiple participants	Simultaneous Presenters	Conversational content between people
Panel Discussion - Virtual	Virtual (eg: video call) group discussions with multiple participants	Simultaneous Presenters	Conversational content between people
Person on stage	Person presenting or performing on stage to an audience	Single Presenter	Videos centered around a person speaking to camera
Talking Head - Corner	Presenter's face in small corner window of the frame	Single Presenter	Videos centered around a person speaking to camera
Talking Head - Center	Person speaking directly to camera as main visual focus	Single Presenter	Videos centered around a person speaking to camera
Static Screen / No video	Static image or minimal visuals with focus on audio content	Static Screen / No video	Miscellaneous formats not fitting main categories
Selfie Camera (Vlog)	Personal video diary shot with handheld camera	Video Journal (Vlogs)	Personal diary-style video content
Point of View Camera (Vlog)	Video shot from the perspective of the person experiencing it	Video Journal (Vlogs)	Personal diary-style video content
