title	url	duration	Video	content1	content_map1	content_map_hierarchy1	content_map_hierarchy_upper1	format1	format_map1	format_map_hierarchy1	content2	content_map2	content_map_hierarchy2	content_map_hierarchy_upper2	format2	format_map2	format_map_hierarchy2	channel
15 futuristic databases you’ve never heard of	https://www.youtube.com/watch?v=jb2AvF8XzII	522.0	Fireship_jb2AvF8XzII	edu.stem.engineering.computerscience	Computer Science	Computer & Data Science	Education	screencast	Screencast	Screencast	skills.digital.coding	Tech Tutorials	Tech & Creative Tutorials	How-To & Tutorials	animated.info	Infographics	Infographics/Slidedeck	Fireship
Vocabulary	https://www.youtube.com/watch?v=O_5HCGJheKs	402.0	Steve_Kaufmann_O_5HCGJheKs	language.internationallanguage	Languages	Languages	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	edu.education.pedagogy.teachingprinciples	Teaching	Teacher Training	Education	talkinghead.framecorner	Talking Head - Corner	Single Presenter	Steve_Kaufmann
The BEST Supplements To Build More Muscle - Dr. Mike Israetel	https://www.youtube.com/watch?v=nUZeu2VwHZI	681.0	Max_Lugavere_nUZeu2VwHZI	wellbeing.fitness	Fitness	Fitness & Nutrition	Lifestyle & Wellbeing	conversation.podcast	Conversations	Simultaneous Presenters	wellbeing.nutrition	Nutrition	Fitness & Nutrition	Lifestyle & Wellbeing	conversation.formal	Conversations	Simultaneous Presenters	Max_Lugavere
Meet Kathy McArthur, One of Georgia’s Top 10 Lawyers	https://www.youtube.com/watch?v=vGYvktIwPMY	635.0	AskTheLawyers_vGYvktIwPMY	edu.social.law	Law	Social Sciences	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	entertainment.variety.talkshow	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	paneldiscussion.virtual	Panel Discussion - Virtual	Simultaneous Presenters	AskTheLawyers
Biden pseudonym emails were to obscure 'illicit behavior,' says Gregg Jarrett	https://www.youtube.com/watch?v=bpto8U2sAmk	387.0	Fox_US_News_bpto8U2sAmk	news.politics	News	News	News/Commentary	paneldiscussion.virtual	Panel Discussion - Virtual	Simultaneous Presenters	news.domestic	News	News	News/Commentary	talkinghead.frameregular	Talking Head - Center	Single Presenter	Fox_US_News
What makes a good therapist? | Kati Morton	https://www.youtube.com/watch?v=H6WaMQ7q0EE	266.0	Kati_Morton_H6WaMQ7q0EE	wellbeing.mentalhealth	Mental Health	Mental Health	Lifestyle & Wellbeing	talkinghead.frameregular	Talking Head - Center	Single Presenter	edu.social.psychology	Psychology	Social Sciences	Education	vlog	Selfie Camera (Vlog)	Video Journal (Vlogs)	Kati_Morton
Never Have I Ever Cast Answer the Web's Most Searched Questions | WIRED	https://www.youtube.com/watch?v=dommHUPW6is	786.0	WIRED_dommHUPW6is	entertainment.variety.celebritycontent	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	paneldiscussion.virtual	Panel Discussion - Virtual	Simultaneous Presenters	entertainment.variety.talkshow	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	talkinghead.frameregular	Talking Head - Center	Single Presenter	WIRED
Blonde Dragon People - SNL	https://www.youtube.com/watch?v=L9wzXC8Pbq8	363.0	Saturday_Night_Live_L9wzXC8Pbq8	entertainment.comedy.parody	Comedy	Comedy	Entertainment	skit	Skit/Parody/Sketch/Short Film	Staged Performance	entertainment.comedy.sketch	Comedy	Comedy	Entertainment	docustyle	Documentary	Documentary Style (Mixed Format)	Saturday_Night_Live
Creating language learning schedules | Tips from Mari Polyglot	https://www.youtube.com/watch?v=pe56RCc0iAk	801.0	Lindie_Botes_pe56RCc0iAk	language.internationallanguage	Languages	Languages	Education	paneldiscussion.virtual	Panel Discussion - Virtual	Simultaneous Presenters	edu.education.pedagogy.teachingprinciples	Teaching	Teacher Training	Education	conversation.formal	Conversations	Simultaneous Presenters	Lindie_Botes
01 - Introduction to Java And How To Use This Course	https://www.youtube.com/watch?v=Ypoad4wtJ7A	305.0	Math_and_Science_Ypoad4wtJ7A	skills.digital.coding	Tech Tutorials	Tech & Creative Tutorials	How-To & Tutorials	slides	Slidedeck	Infographics/Slidedeck	edu.stem.engineering.computerscience	Computer Science	Computer & Data Science	Education	animation.powerpoint	Slidedeck	Infographics/Slidedeck	Math_and_Science
Hackers freeze slot machines at MGM casinos	https://www.youtube.com/watch?v=wcpPWWQsnl0	503.0	CNN_US_News_wcpPWWQsnl0	news.domestic	News	News	News/Commentary	paneldiscussion.inperson	Panel Discussion - In Person	Simultaneous Presenters	news.business	News	News	News/Commentary	talkinghead.frameregular	Talking Head - Center	Single Presenter	CNN_US_News
John Dewey’s 4 Principles of Education	https://www.youtube.com/watch?v=y3fm6wNzK70	329.0	Sprouts_y3fm6wNzK70	edu.education.pedagogy.teachingprinciples	Teaching	Teacher Training	Education	animated.comic	Comic Book Style	Animations	edu.social.politics	Political Science	Social Sciences	Education	animated.graphics	Motion Graphics	Animations	Sprouts
Spy Kids 4 (2/11) Movie CLIP - Blue Cheese Dressing Bomb (2011) HD	https://www.youtube.com/watch?v=GvRD2YqBi74	218.0	RottenTomatoes_GvRD2YqBi74	entertainment.movies.clips	Movies, Theatre & Drama	Movies, TV & Drama	Entertainment	skit	Skit/Parody/Sketch/Short Film	Staged Performance	edu.arts.architecture	Architecture	Architecture	Education	conversation.casual	Conversations	Simultaneous Presenters	RottenTomatoes
Complex Humanitarian Emergencies | Essentials of Global Health with Richard Skolnik	https://www.youtube.com/watch?v=F3PM8NddDvk	873.0	YaleCourses_F3PM8NddDvk	edu.medicine.publichealth	Public Health	Medical Sciences	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	news.health	News	News	News/Commentary	classroom	Classroom Lecture	Instructional	YaleCourses
