Video	title	url	format_label_1	format_hierarchy_1	format_label_2	format_hierarchy_2	gt_format_label_1	gt_format_hierarchy_1	gt_format_label_2	gt_format_hierarchy_2	annotated_at	annotator_id
Fox_US_News_0fSV8mVyGmU	Eyewitness reveals what he saw in explosion at New York-Canada border	https://www.youtube.com/watch?v=0fSV8mVyGmU	Interviews	Interviews			Talking Head - Center	Talking Head	Interviews	Interviews	2025-07-26T20:59:44.155551	default
Vox_aKyvGHycngM	Why cities should plant more trees	https://www.youtube.com/watch?v=aKyvGHycngM	Infographics	Graphics	Slidedecks	Slidedecks	Documentary Style	Documentaries	Infographics	Graphics	2025-07-26T21:01:10.162953	default
Sprouts_rZfAsbhfL_Y	Bruner’s 3 Steps of Learning in a Spiral Curriculum	https://www.youtube.com/watch?v=rZfAsbhfL_Y	Comic Panel Style	Animations	Animated Graphics	Graphics	Comic Panel Style	Animations	Animated Graphics	Graphics	2025-07-26T21:02:47.933236	default
Kurzgesagt_8HslUzw35mc	Homeopathy Explained – Gentle Healing or Reckless Fraud?	https://www.youtube.com/watch?v=8HslUzw35mc	Cartoon	Animations	Animated Graphics	Graphics	Infographics	Graphics	Animated Graphics	Graphics	2025-07-26T21:03:40.791476	default
RottenTomatoes_e5gfRaN5gaE	Dead Snow: Red vs. Dead (2014) - Zombie War Scene (8/10) | Movieclips	https://www.youtube.com/watch?v=e5gfRaN5gaE	Unedited Footage	Others			Unedited Footage	Others	Talking Head - Corner	Talking Head	2025-07-26T21:39:15.283752	default
Khan_Academy_AnATlMVA12E	Futures and forward curves | Finance & Capital Markets | Khan Academy	https://www.youtube.com/watch?v=AnATlMVA12E	Writing Cursor	Writing Cursor			Writing Cursor	Writing Cursor	Animated Graphics	Graphics	2025-07-26T21:41:33.047415	default
RottenTomatoes_NYo4WkYNLn4	John Wick (7/10) Movie CLIP - Where Is He? (2014) HD	https://www.youtube.com/watch?v=NYo4WkYNLn4	Unedited Footage	Others			Unedited Footage	Others	Talking Head - Corner	Talking Head	2025-07-26T21:41:55.174229	default
OxfordUnion_2ye5rAyZSUo	Bim Afolami MP | Meritocracy Debate | Opposition (6/8) | Oxford Union	https://www.youtube.com/watch?v=2ye5rAyZSUo	Panel - In Person	Panel			Stage Talks	Stage Talks	Talking Head - Center	Talking Head	2025-07-26T21:43:43.630541	default
Facts_YriQwKvrXaw	People Date Whilst Eating The World's Hottest Wings (Carolina Reaper)	https://www.youtube.com/watch?v=YriQwKvrXaw	Podcast	Interviews			Talkshows	Interviews	Talking Head - Center	Talking Head	2025-07-26T21:44:25.072073	default
Deep_Dive_Ali_Abdaal_qBnfsYRA9cI	Advice Every 20 Year Old Needs To Hear	https://www.youtube.com/watch?v=qBnfsYRA9cI	Podcast	Interviews			Podcast	Interviews	Talking Head - Center	Talking Head	2025-07-26T21:46:39.762132	default
