Video	title	url	format_label_1	format_hierarchy_1	format_label_2	format_hierarchy_2	gt_format_label_1	gt_format_hierarchy_1	gt_format_label_2	gt_format_hierarchy_2	annotated_at	annotator_id
The_Late_Show_Stephen_Colbert_EC3_lkICSJc	Meanwhile… Kim Kardashian’s Salmon Sperm Facial | George R. R. Martin Is Mad | Raccoon Rescue	https://www.youtube.com/watch?v=EC3_lkICSJc	Talkshows	Interviews	Skit	Skit	Talking Head - Center	Talking Head	Animated Graphics	Graphics	2025-07-28T02:38:26.183757	jeanne
Geography_Geek_Pj4gA1aOBCM	Why is Korea an Island on Old Maps?	https://www.youtube.com/watch?v=Pj4gA1aOBCM	Slidedecks	Slidedecks	Podcast	Interviews	Infographics	Graphics	Animated Graphics	Graphics	2025-07-28T02:42:38.205498	jeanne
Conan_OBrien_Z8s-NRK37is	"Ricky Gervais Helps Americans Understand ""The Office"" | Late Night with Conan O’Brien"	https://www.youtube.com/watch?v=Z8s-NRK37is	Interviews	Interviews	Talkshows	Interviews	Talking Head - Center	Talking Head	Interviews	Interviews	2025-07-28T02:44:25.372699	jeanne
Saturday_Night_Live_ZQYvmu-affA	Doctor's Visit - SNL	https://www.youtube.com/watch?v=ZQYvmu-affA	Skit	Skit			Skit	Skit	Talking Head - Center	Talking Head	2025-07-28T02:49:25.815673	jeanne
Benjamin_Keep_8l3Mux2Khe0	The thing that kills creativity | Psychology, insight, and problem solving.	https://www.youtube.com/watch?v=8l3Mux2Khe0	Talking Head - Center	Talking Head	Screencasts	Screencasts	Talking Head - Center	Talking Head	Slidedecks	Slidedecks	2025-07-28T02:51:53.143515	jeanne
RottenTomatoes_oLJ7246t3-c	Frank & Jesse (1995) - Zee James Scene (7/11) | Movieclips	https://www.youtube.com/watch?v=oLJ7246t3-c	Unedited Footage	Others			Talkshows	Interviews	Unedited Footage	Others	2025-07-28T02:54:21.801322	jeanne
Facts_HW7F-M8Rcjo	Irish People Try To Explain Emoji Meanings	https://www.youtube.com/watch?v=HW7F-M8Rcjo	Interviews	Interviews			Talking Head - Center	Talking Head	Talkshows	Interviews	2025-07-28T02:55:42.152596	jeanne
Chris_Williamson_FbHLdC5WLek	Is It Possible To Put Women In The Friend Zone? - Ryan Long	https://www.youtube.com/watch?v=FbHLdC5WLek	Podcast	Interviews	Interviews	Interviews	Podcast	Interviews	Talking Head - Center	Talking Head	2025-07-28T02:57:30.096409	jeanne
TED_Ed_e0uyu9vdd2g	The last chief of the Comanches and the fall of an empire - Dustin Tahmahkera	https://www.youtube.com/watch?v=e0uyu9vdd2g	Cartoon	Animations			Infographics	Graphics	Documentary Style	Documentaries	2025-07-28T02:58:39.739336	jeanne
ColdFusion_TAKmlNaFNOo	Robot Hand Unexpectedly Learns Human Behaviour! - Open AI	https://www.youtube.com/watch?v=TAKmlNaFNOo	Slidedecks	Slidedecks			Experiments	Demonstrations	Games	Gaming	2025-07-28T03:00:09.607436	jeanne
