Video	title	url	format_label_1	format_hierarchy_1	format_label_2	format_hierarchy_2	gt_format_label_1	gt_format_hierarchy_1	gt_format_label_2	gt_format_hierarchy_2	annotated_at	annotator_id
RottenTomatoes_ZMb-qj1X1do	Sliver (9/9) Movie CLIP - Get A Life (1993) HD	https://www.youtube.com/watch?v=ZMb-qj1X1do	Surveillance Cam	Others	Skit	Skit	Surveillance Cam	Others	Experiments	Demonstrations	2025-07-28T02:06:43.791618	kaatje
Facts_jL1GsbTqzXQ	Men try Contouring For The First Time	https://www.youtube.com/watch?v=jL1GsbTqzXQ	Talking Head - Center	Talking Head	Interviews	Interviews	Talking Head - Center	Talking Head	Talkshows	Interviews	2025-07-28T02:11:13.545715	kaatje
CNN_US_News_HETKsT8lAhs	Trump labels Facebook the 'enemy of the people' in interview	https://www.youtube.com/watch?v=HETKsT8lAhs	Panel - Virtual	Panel	Talking Head - Corner	Talking Head	Talking Head - Center	Talking Head	Panel - Virtual	Panel	2025-07-28T02:25:12.074781	kaatje
Seth_Meyers_QAQxDbZToKI	Penn Badgley Got Nauseous from You's Gory Set	https://www.youtube.com/watch?v=QAQxDbZToKI	Interviews	Interviews	Talkshows	Interviews	Talking Head - Center	Talking Head	Stage Talks	Stage Talks	2025-07-28T02:28:12.799371	kaatje
RealLifeLore_3W5-ZJ-TJTY	What is the LOUDEST Sound Ever Heard?	https://www.youtube.com/watch?v=3W5-ZJ-TJTY	Cartoon	Animations	Documentary Style	Documentaries	Animated Graphics	Graphics	Infographics	Graphics	2025-07-28T02:33:42.420278	kaatje
BRAINY_DOSE_Z8d2o4Bg94E	10 Warning Signs Your Body Is Deficient in Nutrients	https://www.youtube.com/watch?v=Z8d2o4Bg94E	Animated Graphics	Graphics	Slidedecks	Slidedecks	Animated Graphics	Graphics	Infographics	Graphics	2025-07-28T02:54:34.710047	kaatje
Hacksmith_Industries_mrn_FvlD45o	Laser Cannons and Rocket Hammers and more! (Hacksmith Vault #3)	https://www.youtube.com/watch?v=mrn_FvlD45o	Experiments	Demonstrations	Vlog	Vlog	Talking Head - Center	Talking Head	Experiments	Demonstrations	2025-07-28T02:58:51.865734	kaatje
ColdFusion_TAKmlNaFNOo	Robot Hand Unexpectedly Learns Human Behaviour! - Open AI	https://www.youtube.com/watch?v=TAKmlNaFNOo	Documentary Style	Documentaries	Animated Graphics	Graphics	Experiments	Demonstrations	Games	Gaming	2025-07-28T03:02:08.208031	kaatje
Max_Lugavere_CONpz0KgxdQ	How To Create A Fat Burning Metabolism with Mark Sisson	https://www.youtube.com/watch?v=CONpz0KgxdQ	Interviews	Interviews	Unedited Footage	Others	Podcast	Interviews	Interviews	Interviews	2025-07-28T10:35:41.549854	kaatje
Math_and_Science_y1FMCDTAQok	Lesson 3 - Sinusoidal Sources, Part 2 (AC Circuit Analysis)	https://www.youtube.com/watch?v=y1FMCDTAQok	Whieboard	Writing Board	Unedited Footage	Others	Whieboard	Writing Board	Talking Head - Center	Talking Head	2025-07-29T00:16:16.277158	kaatje
