Video	title	url	format_label_1	format_hierarchy_1	format_label_2	format_hierarchy_2	gt_format_label_1	gt_format_hierarchy_1	gt_format_label_2	gt_format_hierarchy_2	annotated_at	annotator_id
RottenTomatoes_i-VeLFEMeko	Spy Kids (3/10) Movie CLIP - Becoming Spies (2001) HD	https://www.youtube.com/watch?v=i-VeLFEMeko	Talking Head - Corner	Talking Head	Talking Head - Center	Talking Head	Talkshows	Interviews	Skit	Skit	2025-07-21T20:59:13.686503	nkuppa
Khan_Academy_xKNX8BUWR0g	Surjective (onto) and injective (one-to-one) functions | Linear Algebra | Khan Academy	https://www.youtube.com/watch?v=xKNX8BUWR0g	Panel - In Person	Panel			Writing Cursor	Writing Cursor	Animated Graphics	Graphics	2025-07-28T10:36:49.782592	nkuppa
LEARN_xD36blv9zbQ	LEARN - How to Interpret a Picture - Part 2 - Like a Historian	https://www.youtube.com/watch?v=xD36blv9zbQ	Slidedecks	Slidedecks	Slidedecks	Slidedecks	Infographics	Graphics	Animated Graphics	Graphics	2025-07-28T22:18:34.891269	nkuppa
NYT_Podcasts_fOygD14a914	Can Learning to Love Beans Help Save the Planet?	https://www.youtube.com/watch?v=fOygD14a914	Static Screen	Others	Static Screen	Others	Static Screen	Others	Talking Head - Corner	Talking Head	2025-07-28T22:21:10.394904	nkuppa
RottenTomatoes_U6uNt6h3_bM	Rambo (7/12) Movie CLIP - Live for Nothing or Die for Something (2008) HD	https://www.youtube.com/watch?v=U6uNt6h3_bM	Talking Head - Center	Talking Head	Talking Head - Corner	Talking Head	Documentary Style	Documentaries	Unedited Footage	Others	2025-07-28T22:22:22.244911	nkuppa
Hacksmith_Industries_mrn_FvlD45o	Laser Cannons and Rocket Hammers and more! (Hacksmith Vault #3)	https://www.youtube.com/watch?v=mrn_FvlD45o	Experiments	Demonstrations	Talking Head - Center	Talking Head	Talking Head - Center	Talking Head	Experiments	Demonstrations	2025-07-28T22:24:16.648386	nkuppa
RottenTomatoes_ZzOzVT2o2BU	New York Car Chase - Shaft (5/9) Movie CLIP (2000) HD	https://www.youtube.com/watch?v=ZzOzVT2o2BU	Talking Head - Center	Talking Head	Talking Head - Corner	Talking Head	Point of View	Vlog	Documentary Style	Documentaries	2025-07-28T22:25:33.746601	nkuppa
WIRED_Zr7LA3cU5o0	Bridgerton Cast Answer The Web's Most Searched Questions | WIRED	https://www.youtube.com/watch?v=Zr7LA3cU5o0	Panel - In Person	Panel	Talking Head - Center	Talking Head	Talking Head - Center	Talking Head	Talkshows	Interviews	2025-07-28T22:33:54.064947	nkuppa
Berklee_POrXMpK5vd8	Dream Theater | How to Play “Erotomania” Guitar Solo | John Petrucci | Metal Guitar | Shaun Michaud	https://www.youtube.com/watch?v=POrXMpK5vd8	Talking Head - Center	Talking Head	Experiments	Demonstrations	Talking Head - Center	Talking Head	Experiments	Demonstrations	2025-07-28T22:35:13.236475	nkuppa
ElectroBOOM_A129SM9S54A	How to change the brake pads of your car	https://www.youtube.com/watch?v=A129SM9S54A	Talking Head - Center	Talking Head	Experiments	Demonstrations	Experiments	Demonstrations	Experiments	Demonstrations	2025-07-28T22:37:02.978906	nkuppa
StatQuest_FKM7hZKYEqw	Your Dark Side	https://www.youtube.com/watch?v=FKM7hZKYEqw	Unedited Footage	Others			Slidedecks	Slidedecks	Writing Cursor	Writing Cursor	2025-07-28T22:37:44.105095	nkuppa
Steve_Kaufmann_3TWI8xl455E	Studying English? Don't Study Modal Verbs	https://www.youtube.com/watch?v=3TWI8xl455E	Talking Head - Center	Talking Head			Talking Head - Center	Talking Head	Animated Graphics	Graphics	2025-07-28T22:38:11.096434	nkuppa
