Video	title	url	content_label_1	content_hierarchy_1	content_label_2	content_hierarchy_2	gt_content_label_1	gt_content_hierarchy_1	gt_content_label_2	gt_content_hierarchy_2	annotated_at	annotator_id
RottenTomatoes_NYo4WkYNLn4	John Wick (7/10) Movie CLIP - Where Is He? (2014) HD	https://www.youtube.com/watch?v=NYo4WkYNLn4	movies	movies			movies	movies	architecture	architecture	2025-07-26T20:24:17.086867	yusuf
RottenTomatoes_Wo3XrThPZzo	Belly (8/11) Movie CLIP - Shameek Kills Big Head Rico (1998) HD	https://www.youtube.com/watch?v=Wo3XrThPZzo	movies	movies			movies	movies	architecture	architecture	2025-07-26T20:25:36.242513	yusuf
RottenTomatoes_ZMb-qj1X1do	Sliver (9/9) Movie CLIP - Get A Life (1993) HD	https://www.youtube.com/watch?v=ZMb-qj1X1do	movies	movies			movies	movies	architecture	architecture	2025-07-26T20:29:04.998558	yusuf
Vox_aKyvGHycngM	Why cities should plant more trees	https://www.youtube.com/watch?v=aKyvGHycngM	environment	physicalsciences			public_health	lifesciences	engineering	tech/engineering	2025-07-26T20:33:37.324167	yusuf
AskTheLawyers_cExNvOmWu2c	What to Do if You’re Hit By a Car as a Pedestrian	https://www.youtube.com/watch?v=cExNvOmWu2c	law	socialsciences	health-news	news	law	socialsciences	architecture	architecture	2025-07-26T20:35:13.986750	yusuf
Socratica_ERZ4pO4yPRk	Text Preprocessing « NLP « Machine Learning – Mathematica Essentials	https://www.youtube.com/watch?v=ERZ4pO4yPRk	computersci	tech/engineering	datasci	tech/engineering	software-tutorials	tutorials	computersci	tech/engineering	2025-07-26T20:37:21.658981	yusuf
OxfordUnion_1bGqqBSLCdc	Social Media Does NOT Corrupt Human Interactions | Liam Hackett | Part 4 of 6	https://www.youtube.com/watch?v=1bGqqBSLCdc	sociology	socialsciences	psychology	socialsciences	internet-culture	others	sociology	socialsciences	2025-07-26T20:43:37.008051	yusuf
Kurzgesagt_8HslUzw35mc	Homeopathy Explained – Gentle Healing or Reckless Fraud?	https://www.youtube.com/watch?v=8HslUzw35mc	medicine	lifesciences	public_health	lifesciences	alternative-medicine	lifestyle_wellbeing	public_health	lifesciences	2025-07-26T20:44:52.509907	yusuf
jacksepticeye_5qWFgvMQnis	Robert Downey Jr. was in my house	https://www.youtube.com/watch?v=5qWFgvMQnis	vlog	personal_vlogs			vlog	personal_vlogs	celebrity-content	arts/culture	2025-07-26T20:46:46.792016	yusuf
Khan_Academy_5Ixp_0r5YWk	Nernst equation | Physical Processes | MCAT | Khan Academy	https://www.youtube.com/watch?v=5Ixp_0r5YWk	physics	physicalsciences	math	math/logic	chemistry	physicalsciences	chemistry	physicalsciences	2025-07-26T20:48:15.406374	yusuf
Conan_OBrien_MIKOcCKFDME	Conan Throws Knives With Penn & Teller | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=MIKOcCKFDME	talkshows	tv_entertainment	comedy	comedy	magic	others	talkshows	tv_entertainment	2025-07-26T20:49:15.925546	yusuf
Fireship_yvGY5vkONds	The most disastrous app launch of all time…	https://www.youtube.com/watch?v=yvGY5vkONds	technology	tech/engineering			computersci	tech/engineering	technology	tech/engineering	2025-07-26T20:54:23.297323	yusuf
eHowEducation_lzwfyXoQ1PM	How to Organize Coordinate Proofs in Geometry : Math Skills	https://www.youtube.com/watch?v=lzwfyXoQ1PM	math	math/logic			math	math/logic	teaching	pedagogy	2025-07-26T20:55:11.856380	yusuf
Dope_EBoFL6lNwBo	MOVIE QUOTE CHALLENGE | Justin James Hughes	https://www.youtube.com/watch?v=EBoFL6lNwBo	quizzes	others			quizzes	others	movies	movies	2025-07-26T20:58:41.446509	yusuf
RottenTomatoes_XzKYNZY9Hpk	Scream 2 (2/12) Movie CLIP - Sequels Suck! (1997) HD	https://www.youtube.com/watch?v=XzKYNZY9Hpk	movies	movies			movies	movies	arts	arts/culture	2025-07-26T21:04:57.098598	yusuf
National_Geographic__ermvCDJzts	Upturning Tornadoes | Explorers in the Field	https://www.youtube.com/watch?v=_ermvCDJzts	environment	physicalsciences			environment	physicalsciences	biology	lifesciences	2025-07-26T21:07:17.847496	yusuf
National_Geographic_K6TnWW1s4hE	Baby Bison Takes on Wolf and Wins | America's National Parks	https://www.youtube.com/watch?v=K6TnWW1s4hE	biology	lifesciences	psychology	socialsciences	biology	lifesciences	biology	lifesciences	2025-07-26T21:14:03.962415	yusuf
Khan_Academy_Ws63I3F7Moc	Origin of Markov chains | Journey into information theory | Computer Science | Khan Academy	https://www.youtube.com/watch?v=Ws63I3F7Moc	math	math/logic			datasci	tech/engineering	computersci	tech/engineering	2025-07-26T21:16:10.914666	yusuf
PewDiePie_n9pmRI5XYh8	DUCK GAMES.	https://www.youtube.com/watch?v=n9pmRI5XYh8	gaming	gaming	comedy	comedy	gaming	gaming	gaming	gaming	2025-07-26T21:18:16.580325	yusuf
Conan_OBrien_r8JDiKMNrQU	Late Night Scandals (Feat. Ellie Kemper) | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=r8JDiKMNrQU	talkshows	tv_entertainment	comedy	comedy	talkshows	tv_entertainment	talkshows	tv_entertainment	2025-07-26T21:18:46.217419	yusuf
ColdFusion_TAKmlNaFNOo	Robot Hand Unexpectedly Learns Human Behaviour! - Open AI	https://www.youtube.com/watch?v=TAKmlNaFNOo	engineering	tech/engineering	datasci	tech/engineering	engineering	tech/engineering	computersci	tech/engineering	2025-07-26T21:20:55.598740	yusuf
Practical_Engineering_Srr0fTnaHdQ	Turning Two Segmented Bowls on the Lathe - Maple with Mahogany Accents	https://www.youtube.com/watch?v=Srr0fTnaHdQ	vlog	personal_vlogs	diy	tutorials	home	lifestyle_wellbeing	architecture	architecture	2025-07-26T21:23:23.064514	yusuf
TED_XQJhRDbsDzI	Your identity is your superpower | America Ferrera	https://www.youtube.com/watch?v=XQJhRDbsDzI	talkshows	tv_entertainment	politics	socialsciences	selfhelp	lifestyle_wellbeing	selfhelp	lifestyle_wellbeing	2025-07-26T21:29:19.977500	yusuf
Dope_SPvKoV7g80U	AMERICANS TRY INDIAN SNACKS	https://www.youtube.com/watch?v=SPvKoV7g80U	talkshows	tv_entertainment			food	lifestyle_wellbeing	product-reviews	reviews	2025-07-26T21:33:22.310276	yusuf
Facts_YriQwKvrXaw	People Date Whilst Eating The World's Hottest Wings (Carolina Reaper)	https://www.youtube.com/watch?v=YriQwKvrXaw	dating	personal_vlogs			dating	personal_vlogs	food	lifestyle_wellbeing	2025-07-26T21:35:12.257915	yusuf
Aunty_Donna_7QrLEOHhrpU	Dishonored 2: Broden Review - Insert Coin Ep02	https://www.youtube.com/watch?v=7QrLEOHhrpU	gaming	gaming	product-reviews	reviews	comedy	comedy	gaming	gaming	2025-07-29T03:15:15.393961	yusuf
The_School_of_Life_2Xi2ty-uHe0	7 Secrets of Therapy	https://www.youtube.com/watch?v=2Xi2ty-uHe0	mental-health	lifestyle_wellbeing	public_health	lifesciences	mental-health	lifestyle_wellbeing	medicine	lifesciences	2025-07-29T03:16:41.074088	yusuf
Psych_Hub_kaxFzln7ssE	What is Schizophrenia?	https://www.youtube.com/watch?v=kaxFzln7ssE	psychology	socialsciences	sociology	socialsciences	medicine	lifesciences	mental-health	lifestyle_wellbeing	2025-07-29T03:17:19.675094	yusuf
Facts_HW7F-M8Rcjo	Irish People Try To Explain Emoji Meanings	https://www.youtube.com/watch?v=HW7F-M8Rcjo	sociology	socialsciences	internet-culture	others	internet-culture	others	languages	arts/culture	2025-07-29T03:18:12.242756	yusuf
Khan_Academy_Yeie-aJT2eU	Divergence intuition, part 2	https://www.youtube.com/watch?v=Yeie-aJT2eU	math	math/logic	physics	physicalsciences	physics	physicalsciences	physics	physicalsciences	2025-07-29T03:19:12.873142	yusuf
Khan_Academy_6zdkeZ_UDXY	Recognition | Vocabulary | Khan Academy	https://www.youtube.com/watch?v=6zdkeZ_UDXY	languages	arts/culture	humanities	humanities/philosophy	languages	arts/culture	teaching	pedagogy	2025-07-29T03:19:45.427811	yusuf
Facts_ZKtKJPymTpI	Irish People Watch Love At First Kiss For The First Time	https://www.youtube.com/watch?v=ZKtKJPymTpI	reality-tv	tv_entertainment	sociology	socialsciences	dating	personal_vlogs	vlog	personal_vlogs	2025-07-29T03:20:21.866819	yusuf
Simplilearn_Nj3Ez95M-ys	Top 10 Richest People In The World 2023 | World's Richest Billionaires | Simplilearn	https://www.youtube.com/watch?v=Nj3Ez95M-ys	finance	business/finance	business-news	business/finance	business-news	business/finance	economics	socialsciences	2025-07-29T03:21:15.852756	yusuf
Seth_Meyers_TQdlbT-wL-0	Annaleigh Ashford Shares What Working with Stephen Sondheim Was Like	https://www.youtube.com/watch?v=TQdlbT-wL-0	celebrity-content	arts/culture	movies	movies	talkshows	tv_entertainment	arts	arts/culture	2025-07-29T03:22:11.908426	yusuf
Conan_OBrien_Z8s-NRK37is	"Ricky Gervais Helps Americans Understand ""The Office"" | Late Night with Conan O’Brien"	https://www.youtube.com/watch?v=Z8s-NRK37is	architecture	architecture	drama	tv_entertainment	talkshows	tv_entertainment	talkshows	tv_entertainment	2025-07-29T03:22:50.407568	yusuf
Vox_aqNHc6ZH7P4	How Trump turned Sean Hannity into a conspiracy theorist	https://www.youtube.com/watch?v=aqNHc6ZH7P4	politics	socialsciences	domestic-news	news	conspiracy	others	politics	socialsciences	2025-07-29T03:23:37.734553	yusuf
Allure_acreItF_FwI	Demi Lovato Revisits Beauty Looks From Their Past	https://www.youtube.com/watch?v=acreItF_FwI	celebrity-content	arts/culture	fashion	lifestyle_wellbeing	cosmetics	lifestyle_wellbeing	celebrity-content	arts/culture	2025-07-29T03:24:15.747276	yusuf
The_B1M_V4awZOrzyjo	Why There Are No Megatall Skyscrapers in New York	https://www.youtube.com/watch?v=V4awZOrzyjo	finance	business/finance	politics	socialsciences	architecture	architecture	engineering	tech/engineering	2025-07-29T03:25:10.069575	yusuf
RottenTomatoes_zuSBq10_5go	Venom (2018) - Venom vs. Riot Scene (8/10) | Movieclips	https://www.youtube.com/watch?v=zuSBq10_5go	movies	movies	drama	tv_entertainment	movies	movies	drama	tv_entertainment	2025-07-29T03:25:41.487427	yusuf
Khan_Academy_Za7G_eWKiF4	Independent or dependent probability event? | Precalculus | Khan Academy	https://www.youtube.com/watch?v=Za7G_eWKiF4	math	math/logic	algebra	math/logic	datasci	tech/engineering	datasci	tech/engineering	2025-07-29T03:26:24.029971	yusuf
