Video	title	url	format_label_1	format_hierarchy_1	format_label_2	format_hierarchy_2	gt_format_label_1	gt_format_hierarchy_1	gt_format_label_2	gt_format_hierarchy_2	annotated_at	annotator_id
RottenTomatoes_NYo4WkYNLn4	John Wick (7/10) Movie CLIP - Where Is He? (2014) HD	https://www.youtube.com/watch?v=NYo4WkYNLn4	Documentary Style	Documentaries			Unedited Footage	Others	Talking Head - Corner	Talking Head	2025-07-26T20:24:17.086867	yusuf
RottenTomatoes_Wo3XrThPZzo	Belly (8/11) Movie CLIP - Shameek Kills Big Head Rico (1998) HD	https://www.youtube.com/watch?v=Wo3XrThPZzo	Documentary Style	Documentaries			Dance	Others	Stage Talks	Stage Talks	2025-07-26T20:25:36.242513	yusuf
RottenTomatoes_ZMb-qj1X1do	Sliver (9/9) Movie CLIP - Get A Life (1993) HD	https://www.youtube.com/watch?v=ZMb-qj1X1do	Talking Head - Center	Talking Head			Surveillance Cam	Others	Experiments	Demonstrations	2025-07-26T20:29:04.998558	yusuf
Vox_aKyvGHycngM	Why cities should plant more trees	https://www.youtube.com/watch?v=aKyvGHycngM	Infographics	Graphics	Animated Graphics	Graphics	Documentary Style	Documentaries	Infographics	Graphics	2025-07-26T20:33:37.324167	yusuf
AskTheLawyers_cExNvOmWu2c	What to Do if You’re Hit By a Car as a Pedestrian	https://www.youtube.com/watch?v=cExNvOmWu2c	Interviews	Interviews	Talking Head - Center	Talking Head	Talking Head - Center	Talking Head	Talking Head - Corner	Talking Head	2025-07-26T20:35:13.986750	yusuf
Socratica_ERZ4pO4yPRk	Text Preprocessing « NLP « Machine Learning – Mathematica Essentials	https://www.youtube.com/watch?v=ERZ4pO4yPRk	Slidedecks	Slidedecks	Infographics	Graphics	Slidedecks	Slidedecks	Writing Cursor	Writing Cursor	2025-07-26T20:37:21.658981	yusuf
OxfordUnion_1bGqqBSLCdc	Social Media Does NOT Corrupt Human Interactions | Liam Hackett | Part 4 of 6	https://www.youtube.com/watch?v=1bGqqBSLCdc	Stage Talks	Stage Talks	Panel - In Person	Panel	Stage Talks	Stage Talks	Talking Head - Center	Talking Head	2025-07-26T20:43:37.008051	yusuf
Kurzgesagt_8HslUzw35mc	Homeopathy Explained – Gentle Healing or Reckless Fraud?	https://www.youtube.com/watch?v=8HslUzw35mc	Cartoon	Animations	Animated Graphics	Graphics	Infographics	Graphics	Animated Graphics	Graphics	2025-07-26T20:44:52.509907	yusuf
jacksepticeye_5qWFgvMQnis	Robert Downey Jr. was in my house	https://www.youtube.com/watch?v=5qWFgvMQnis	Talking Head - Center	Talking Head			Talking Head - Center	Talking Head	Vlog	Vlog	2025-07-26T20:46:46.792016	yusuf
Khan_Academy_5Ixp_0r5YWk	Nernst equation | Physical Processes | MCAT | Khan Academy	https://www.youtube.com/watch?v=5Ixp_0r5YWk	Writing Cursor	Writing Cursor			Writing Cursor	Writing Cursor	Talking Head - Corner	Talking Head	2025-07-26T20:48:15.406374	yusuf
Conan_OBrien_MIKOcCKFDME	Conan Throws Knives With Penn & Teller | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=MIKOcCKFDME	Talkshows	Interviews	Skit	Skit	Stage Talks	Stage Talks	Skit	Skit	2025-07-26T20:49:15.925546	yusuf
Fireship_yvGY5vkONds	The most disastrous app launch of all time…	https://www.youtube.com/watch?v=yvGY5vkONds	Animated Graphics	Graphics			Talking Head - Center	Talking Head	Animated Graphics	Graphics	2025-07-26T20:54:23.297323	yusuf
eHowEducation_lzwfyXoQ1PM	How to Organize Coordinate Proofs in Geometry : Math Skills	https://www.youtube.com/watch?v=lzwfyXoQ1PM	Talking Head - Corner	Talking Head	Glassboard	Writing Board	Talking Head - Center	Talking Head	Talking Head - Corner	Talking Head	2025-07-26T20:55:11.856380	yusuf
Dope_EBoFL6lNwBo	MOVIE QUOTE CHALLENGE | Justin James Hughes	https://www.youtube.com/watch?v=EBoFL6lNwBo	Podcast	Interviews	Talking Head - Center	Talking Head	Talking Head - Center	Talking Head	Talkshows	Interviews	2025-07-26T20:58:41.446509	yusuf
RottenTomatoes_XzKYNZY9Hpk	Scream 2 (2/12) Movie CLIP - Sequels Suck! (1997) HD	https://www.youtube.com/watch?v=XzKYNZY9Hpk	Panel - In Person	Panel			Classroom	Lectures	Talking Head - Center	Talking Head	2025-07-26T21:04:57.098598	yusuf
National_Geographic__ermvCDJzts	Upturning Tornadoes | Explorers in the Field	https://www.youtube.com/watch?v=_ermvCDJzts	Documentary Style	Documentaries	Infographics	Graphics	Documentary Style	Documentaries	Infographics	Graphics	2025-07-26T21:07:17.847496	yusuf
National_Geographic_K6TnWW1s4hE	Baby Bison Takes on Wolf and Wins | America's National Parks	https://www.youtube.com/watch?v=K6TnWW1s4hE	Documentary Style	Documentaries			Documentary Style	Documentaries	Infographics	Graphics	2025-07-26T21:14:03.962415	yusuf
Khan_Academy_Ws63I3F7Moc	Origin of Markov chains | Journey into information theory | Computer Science | Khan Academy	https://www.youtube.com/watch?v=Ws63I3F7Moc	Experiments	Demonstrations	Animated Graphics	Graphics	Writing Cursor	Writing Cursor	Screencasts	Screencasts	2025-07-26T21:16:10.914666	yusuf
PewDiePie_n9pmRI5XYh8	DUCK GAMES.	https://www.youtube.com/watch?v=n9pmRI5XYh8	Podcast	Interviews	Talking Head - Center	Talking Head	Games	Gaming	Talking Head - Corner	Talking Head	2025-07-26T21:18:16.580325	yusuf
Conan_OBrien_r8JDiKMNrQU	Late Night Scandals (Feat. Ellie Kemper) | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=r8JDiKMNrQU	Talkshows	Interviews			Skit	Skit	Talking Head - Center	Talking Head	2025-07-26T21:18:46.217419	yusuf
ColdFusion_TAKmlNaFNOo	Robot Hand Unexpectedly Learns Human Behaviour! - Open AI	https://www.youtube.com/watch?v=TAKmlNaFNOo	Experiments	Demonstrations	Animated Graphics	Graphics	Experiments	Demonstrations	Games	Gaming	2025-07-26T21:20:55.598740	yusuf
Practical_Engineering_Srr0fTnaHdQ	Turning Two Segmented Bowls on the Lathe - Maple with Mahogany Accents	https://www.youtube.com/watch?v=Srr0fTnaHdQ	Unedited Footage	Others	Documentary Style	Documentaries	Experiments	Demonstrations	Animated Graphics	Graphics	2025-07-26T21:23:23.064514	yusuf
TED_XQJhRDbsDzI	Your identity is your superpower | America Ferrera	https://www.youtube.com/watch?v=XQJhRDbsDzI	Panel - In Person	Panel			Stage Talks	Stage Talks	Talking Head - Center	Talking Head	2025-07-26T21:29:19.977500	yusuf
Dope_SPvKoV7g80U	AMERICANS TRY INDIAN SNACKS	https://www.youtube.com/watch?v=SPvKoV7g80U	Podcast	Interviews	Talking Head - Center	Talking Head	Talkshows	Interviews	Documentary Style	Documentaries	2025-07-26T21:33:22.310276	yusuf
